,Age,MP,Starts,Min,90s,Player,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasProg,PasAtt,PasCmp,Assists,PasAss,PPA,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,Fls,Fld,Off,AerWon,AerLost,AerWon%
2063,20,1,0,3,0.0,Rocco Reitz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,28,10,9,664,7.4,Karim Rekik,1,0.68,0.14,20.0,0.2,1.0,10.8,0.0,0.0,0.0,59.9,63.6,94.1,5.0,63.6,59.9,0.14,0.41,0.27,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.14,0.14,0.27,50.0,0.14,0.54,0.14,0.41,0.81,1.08,1.76,0.0,70.0,52.0,235.9,132.4,1.35,0.81,0.14,0.54,0.68,55.4,0.68,0.14,0.0,1.76,0.41,0.0,1.49,0.54,73.3
2065,27,20,20,1800,20.0,Álex Remiro,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,36.0,71.1,0.05,36.0,25.6,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.1,37.9,21.7,126.3,79.1,0.0,0.0,0.0,0.05,0.0,17.9,0.0,0.05,0.0,0.0,0.0,0.0,0.2,0.0,100.0
2066,24,2,1,122,1.4,Panagiotis Retsos,0,0.71,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,31.4,40.0,78.6,1.43,40.0,31.4,0.0,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,2.86,2.14,2.14,100.0,0.0,2.86,0.71,2.14,1.43,5.0,2.14,0.0,54.3,25.0,177.9,89.3,1.43,0.0,0.0,0.0,0.71,23.6,0.0,0.0,0.0,2.86,1.43,0.0,2.14,2.14,50.0
2067,33,12,9,779,8.7,Marco Reus,2,2.07,0.46,22.2,0.11,0.5,14.5,0.23,0.0,0.0,24.0,31.5,76.3,2.07,31.5,24.0,0.23,0.8,0.23,2.53,1.95,0.23,0.0,0.34,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,1.95,1.26,0.23,1.26,18.2,1.03,0.57,0.11,0.46,0.23,2.18,0.46,0.0,41.6,24.8,124.3,58.2,2.07,1.61,0.57,2.18,1.03,28.4,4.94,0.23,0.0,1.49,1.26,0.34,0.46,1.61,22.2
2068,22,1,0,1,0.0,Alejandro Revuelta Montero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,25,19,19,1603,17.8,Elvis Rexhbeçaj,0,0.51,0.17,33.3,0.0,0.0,28.1,0.0,0.0,0.0,21.0,32.5,64.6,3.65,32.5,21.0,0.0,0.34,0.51,1.46,1.12,0.0,0.0,0.06,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.29,1.07,2.25,47.5,1.18,1.35,0.45,0.9,0.56,2.47,1.69,0.0,42.5,19.8,104.8,58.5,0.67,0.51,0.0,1.69,0.62,20.6,0.9,0.28,0.0,1.07,2.3,0.0,1.57,1.35,53.8
2070,20,14,4,503,5.6,Gio Reyna,5,2.68,1.07,40.0,0.27,0.67,16.1,0.18,0.18,0.18,31.1,40.2,77.3,3.57,40.2,31.1,0.0,1.43,1.96,2.86,2.32,0.0,0.0,0.36,0.18,0.0,0.36,0.18,0.0,0.0,0.0,0.18,0.0,1.79,0.71,0.71,1.43,50.0,0.71,1.07,0.36,0.71,0.54,2.32,0.71,0.0,54.1,36.4,205.9,98.4,3.21,2.68,1.07,1.79,2.68,41.4,7.86,0.18,0.0,0.71,2.32,0.18,0.89,1.96,31.3
2071,19,1,0,2,0.0,Chadi Riad,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,21,14,6,381,4.2,Nico Ribaudo,0,1.9,0.24,12.5,0.0,0.0,23.4,0.24,0.0,0.0,22.1,28.8,76.9,1.43,28.8,22.1,0.0,0.48,0.24,1.9,1.19,0.0,0.0,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.19,0.95,2.62,36.4,1.67,0.95,0.0,0.95,0.24,1.67,0.24,0.0,41.0,25.7,167.9,78.6,3.1,2.38,0.71,3.1,0.71,27.4,5.95,0.48,0.0,2.86,2.86,0.24,1.19,3.33,26.3
