Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.594150785,0.598902305,0.596734256,0.55234058,0.500879307,0.504161519,0.453009847,0.448453398,0.470816573,0.496983048,0.530211117,0.490261394,0.504328804,0.723909846,0.754450349,0.798129511,0.752659102,0.745023243,0.709780591,0.545230824,0.563023859,0.476809129,0.752389617,0.75761763,0.660330439,0.521231343,0.547893684,0.582083119,0.647726449,1.001007896,0.956633363,1.209574477,1.363843941,1.248567725,1.146118564,0.931966921,0.787980365,0.682623005,0.627719807,0.621622806,0.559829543,0.51375216,0.607307278,0.667445112,0.744907717,0.99168832,0.944723856,0.882771273,1.055256819,1.160296898,
Brazil,BRA,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,247930608.2,291570540.2,346555491.2,432929009,522547346,615162761.2,681136545.7,776958965,923181845.1,1088119535,1205169870,1238689535,1347712819,1385896444,1487361141,1684564070,1928116928,2108080518,2251260786,2445409317,2531760649,2810074599,2957207197,3236095522,3546766854,3950198640,4533913378,4976921263,5347215022,5686515646,6089411410,6546338025,6695396316,6749782094,7444532906,8069491500,8509557553,9334255236,10383992138,10133259840,11983935124,13095388445,14597723572,16275315323,17953989268,17536024571,16604466487,17869497501,19334098869,20780569355,
Brazil,BRA,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,6.764842306,6.826875894,7.086434433,7.658122027,7.831408249,8.122456962,8.226506679,8.013982711,8.246047066,8.427048461,9.331837057,9.202097218,9.474979615,9.088255638,9.071402547,9.931116697,10.18321925,9.490653649,9.515611739,8.190605991,8.627133623,8.253353911,7.556816969,7.747320196,8.502408891,7.611046578,7.393855971,7.556228961,7.543773244,7.58499122,7.935857742,7.914660945,7.826353823,7.943266997,8.724659926,8.289559028,8.114514287,8.311086513,8.440936429,8.323325031,8.909616659,8.748263312,8.594035195,8.437543462,8.428499537,8.348767137,8.190383954,8.113729825,8.183202178,8.103332501,
Brazil,BRA,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,2822871750,3323607000,4115471405,6002497917,8170194970,9910778312,12369210912,13884465467,16168931547,18450601254,21211265631,23249926810,25319893276,17399101889,17883816552,20961012145,26086760078,26854279034,30181331846,36735605024,38793804304,48641141272,29701464553,33091980959,45668138635,57681001487,61185415119,64607193299,62276563890,43088742270,50515385025,42834936500,38421214450,42941460252,56670417820,71775644220,87630262692,1.13647E+11,1.39633E+11,1.35681E+11,1.90723E+11,2.22991E+11,2.06573E+11,2.05745E+11,2.03146E+11,1.47631E+11,1.43954E+11,1.64242E+11,1.4993E+11,1.45128E+11,
Brazil,BRA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.5992819,3.5992819,3.5992819,3,3.5992819,3.5992819,2.9,3,3.2,3.2,3.5,4,4.3,3.1,2.8,3.4,4.1,4.2286051,4.2,4.5498782,4.6342599,4.6342599,4.6342599,4.6342599,4.6342599,4.3,4.226346,4.226346,4.738481088,3.81,3.88,3.82,3.71,3.805,3.9,4.39,4.79,4.85,5.16,5.4,5.39,5.49,5.54,5.551782188,5.663442008,6.109572982,6.233644104,6.283415775,6.283415775,6.283415775,
Brazil,BRA,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,1501928757,1752280063,2090295462,2351424238,3754986835,4391735796,4360382000,5197590000,6274592000,7006240000,7955500000,10106360000,11490847000,5934826000,5520060000,7176176000,10503134000,11965049561,13321434000,20406613216,20838969178,27312010721,18214587796,19794824079,24891536775,32587937000,34973731629,36136061306,39117867233,21643809900,24697984800,20674222000,18213169100,20569906100,25332177000,38011078400,51728168000,66319385000,85358784000,88027020000,1.1538E+11,1.39938E+11,1.33164E+11,1.35377E+11,1.36502E+11,1.08036E+11,1.09563E+11,1.27192E+11,1.15123E+11,1.12534E+11,
Brazil,BRA,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,0.072889753,0.093244833,0.084213947,0.102595925,0.411261249,0.335048199,0.269849456,0.189330884,0.176128128,0.410202177,0.547222963,0.495742701,0.377690681,0.897256415,1.264099292,1.370972902,0.50816478,0.708813432,0.456816996,0.512999711,0.744235943,0.322434404,0.519881194,0.469011174,0.344895014,0.276454387,0.387156856,0.333776818,0.213934523,0.599855823,1.13780991,0.977022919,1.316593512,1.468614806,1.598800692,1.910021746,1.904850871,1.558066571,1.826879471,1.010487251,1.166388326,1.551595478,1.527293313,1.420867063,1.417189671,0.838748333,0.636352135,1.022647703,1.722587784,1.720157643,
Brazil,BRA,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,30415849.47,45395461.09,48907542.05,80415514.85,429052410.3,408815761.1,405740244.6,328021435.8,345353795,898117156.4,1243837794,1252538550,1009299029,1717761517,2492108550,2893630246,1301786043,2005623045,1448918445,2300849874,3346620649,1900267161,2043351443,2003339018,1852500098,2095134451,3203788798,2853855210,1766106506,3407654961,7242683467,5287745742,6463434037,7939361012,10384897976,16538037891,20570865530,21305158092,30220970961,16472255828,24968175053,39549703264,36711243905,34647132906,34157530596,14831586776,11184525121,20700946127,31560736602,30807507346,
Brazil,BRA,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,21.83711367,19.52124571,20.11643795,19.95870114,18.52160821,18.47511108,19.44342755,16.12051479,14.14234256,16.70761099,20.16603465,17.9229683,22.66871919,24.93834427,33.97764349,19.4343519,18.9673369,20.46379223,20.68893109,20.43204364,14.56515426,13.03609715,12.57085338,12.06563913,11.17911089,14.40659631,14.05113234,15.94237752,16.9559494,19.43390939,18.65327895,18.88230803,19.76621732,19.71015178,16.75101993,18.36987134,19.09184446,18.13046137,18.40749162,16.44077164,14.80798883,13.71265562,13.84044899,12.74229352,12.52485389,
Brazil,BRA,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.181742507,0.145532756,0.168029724,0.152097518,0.220869549,0.248927656,0.320336884,0.227537009,0.182056631,0.208598961,0.279531752,0.243983801,0.252077345,0.377492125,0.348209843,0.334300397,0.259264383,0.252010662,0.261870754,0.216065246,0.24338768,0.149642186,0.210839799,0.134450861,0.118358581,0.085452442,0.073193272,0.070677941,0.15664906,0.189383029,0.159594466,0.232697445,0.243396677,0.07061558,0.043279979,0.267949328,0.409025161,0.747052077,0.914643097,0.18424758,0.555192989,0.650423842,0.447037583,0.454356569,0.35103395,0.254959183,0.34213554,0.318484626,0.337119739,0.277707819,
